frame,fingers,maxContourArea,centerX,centerY,convexDefects,avgAngle,fps,usedMemoryMB,cpuLoad,gesture
0,2,15734.00,317.08,371.71,6,60.99,1.56,16.58,0.0425,Rock
1,1,17619.00,320.00,372.98,7,0.00,83.33,21.92,0.0789,Thumbs Up
2,1,17900.50,320.62,373.32,7,0.00,90.91,23.28,0.0789,Thumbs Up
3,2,17786.50,320.86,372.26,8,57.84,83.33,8.36,0.0789,Peace
4,2,19044.00,319.48,370.10,7,54.16,83.33,9.83,0.0744,Rock
5,2,19683.00,318.30,368.12,7,48.26,90.91,10.71,0.0744,Rock
6,2,20184.00,316.37,367.52,4,46.96,90.91,11.59,0.0744,Rock
7,2,20538.50,316.47,367.28,6,41.38,83.33,12.64,0.0520,Rock
8,2,20680.00,316.21,366.90,5,45.04,83.33,13.52,0.0520,Rock
9,3,21629.50,324.41,363.82,4,58.20,90.91,14.66,0.0851,OK
10,2,22174.50,339.21,363.07,4,56.20,90.91,15.54,0.0851,Rock
11,2,22186.00,343.05,364.30,6,61.81,90.91,16.42,0.0851,Rock
12,2,21232.50,334.36,366.62,6,64.88,100.00,17.30,0.0350,Peace
13,2,20787.50,326.04,367.03,4,78.80,100.00,18.40,0.0350,Rock
14,2,21300.00,566.43,275.19,4,79.59,100.00,19.28,0.0350,Peace
15,3,31711.00,521.01,214.66,11,20.61,100.00,20.42,0.0564,OK
16,2,30251.00,520.47,217.48,9,22.03,83.33,21.30,0.0564,Rock
17,2,30153.00,520.07,211.89,9,21.02,100.00,22.40,0.0564,Rock
18,2,36289.00,533.72,246.07,6,21.04,90.91,23.28,0.0345,Rock
19,2,31756.50,507.49,215.23,9,19.24,100.00,24.42,0.0345,Peace
20,1,37122.00,447.19,294.76,7,0.00,100.00,25.30,0.0345,Thumbs Up
21,2,55089.00,325.80,246.36,8,23.12,83.33,10.08,0.0502,Rock
22,2,53092.50,262.89,244.61,6,22.25,111.11,10.96,0.0502,Rock
23,2,57466.00,258.27,245.28,5,50.46,111.11,11.84,0.0502,Rock
24,2,36259.00,379.37,304.27,5,78.67,100.00,12.72,0.0328,Rock
25,2,34723.00,385.42,307.88,5,66.38,25.64,13.88,0.0328,Rock
26,2,33440.00,384.51,312.68,5,66.37,83.33,14.76,0.0304,Rock
27,2,31967.50,385.97,316.63,3,66.87,83.33,16.12,0.0304,Rock
28,2,32159.00,387.06,318.06,4,65.44,90.91,17.20,0.0457,Rock
29,1,28344.50,432.31,347.18,5,0.00,100.00,18.08,0.0457,Thumbs Up
30,1,20762.50,73.85,396.90,7,0.00,83.33,18.96,0.0457,Thumbs Up
31,2,22552.00,193.54,379.62,6,71.06,111.11,20.13,0.0341,Peace
32,2,22312.00,270.03,371.85,6,56.32,90.91,21.01,0.0341,Rock
33,2,21692.50,310.14,373.72,3,48.37,90.91,21.88,0.0341,Rock
